"North_cor","East_cor","WaterSE","Code","Point","VertPrec"
1841990.086,6056874.242,7.803,"echo","1117",0.03038
1841991.677,6056872.709,7.83,"echo","1118",0.03037
1841992.786,6056870.827,7.796,"echo","1119",0.03037
1841994.428,6056869.128,7.777,"echo","1120",0.03037
1841996.408,6056867.618,7.796,"echo","1121",0.03036
1841997.997,6056866.058,7.846,"echo","1122",0.03036
1841999.235,6056864.36,7.802,"echo","1123",0.03057
1842001.366,6056862.84,7.805,"echo","1124",0.03035
1842003.294,6056861.498,7.837,"echo","1125",0.03035
1842004.694,6056859.723,7.765,"echo","1126",0.03057
1842006.298,6056858.21,7.789,"echo","1127",0.03035
1842008.19,6056856.925,7.834,"echo","1128",0.03035
1842009.425,6056855.081,7.788,"echo","1129",0.03054
1842012.828,6056851.937,7.794,"echo","1131",0.03033
1842014.496,6056850.54,7.794,"echo","1132",0.03032
1842016.051,6056849.385,7.847,"echo","1133",0.03032
1842016.92,6056847.577,7.787,"echo","1134",0.03032
1842017.782,6056846.147,7.842,"echo","1135",0.03031
1842017.9,6056844.539,7.777,"echo","1136",0.03031
1842018.109,6056843.362,7.848,"echo","1137",0.03031
1842017.807,6056842.383,7.814,"echo","1138",0.03031
1842017.558,6056841.641,7.813,"echo","1139",0.03031
1842017.463,6056841.019,7.822,"echo","1140",0.0303
1842017.717,6056841.049,7.816,"echo","1141",0.03029
1842018.308,6056841.108,7.842,"echo","1142",0.03029
1842018.622,6056841.978,7.785,"echo","1143",0.03028
1842018.885,6056842.373,7.791,"echo","1144",0.0306
1842018.081,6056842.039,7.793,"echo","1145",0.03027
1842017.289,6056842.199,7.734,"echo","1146",0.03026
1842015.937,6056841.954,7.751,"echo","1147",0.03259
1842014.455,6056841.416,7.838,"echo","1148",0.03027
1842013.128,6056841.119,7.805,"echo","1149",0.0304
1842012.013,6056841.242,7.733,"echo","1150",0.03025
1842011.259,6056841.227,7.819,"echo","1151",0.03047
1842010.561,6056841.797,7.82,"echo","1152",0.0304
1842010.001,6056842.371,7.845,"echo","1153",0.03025
1842009.689,6056843.441,7.798,"echo","1154",0.03025
1842009.506,6056844.184,7.818,"echo","1155",0.03024
1842009.735,6056845.138,7.803,"echo","1156",0.03024
1842009.85,6056845.804,7.862,"echo","1157",0.03046
1842010.674,6056846.522,7.796,"echo","1158",0.03035
1842011.181,6056847.057,7.841,"echo","1159",0.03054
1842011.995,6056847.452,7.78,"echo","1160",0.03022
1842012.623,6056848.451,7.788,"echo","1161",0.03021
1842013.208,6056850.159,7.809,"echo","1162",0.03022
1842013.562,6056851.649,7.815,"echo","1163",0.03022
1842013.643,6056852.892,7.801,"echo","1164",0.03082
1842013.27,6056854.427,7.784,"echo","1165",0.03046
1842013.599,6056855.759,7.797,"echo","1166",0.03058
1842014.023,6056857.137,7.818,"echo","1167",0.03054
1842013.999,6056858.559,7.82,"echo","1168",0.03023
1842013.305,6056859.266,7.85,"echo","1169",0.03022
1842012.758,6056859.705,7.818,"echo","1170",0.03022
1842012.08,6056860.007,7.795,"echo","1171",0.03022
1842011.85,6056861.02,7.77,"echo","1172",0.03022
1842010.714,6056861.776,7.805,"echo","1173",0.03041
1842009.333,6056862.27,7.795,"echo","1174",0.03021
1842008.363,6056862.185,7.836,"echo","1175",0.03021
1842007.742,6056862.504,7.776,"echo","1176",0.0302
1842006.532,6056862.694,7.767,"echo","1177",0.0302
1842005.429,6056862.82,7.779,"echo","1178",0.0302
1842004.034,6056862.428,7.808,"echo","1179",0.03019
1842002.732,6056862.338,7.801,"echo","1180",0.03019
1842001.285,6056862.541,7.783,"echo","1181",0.03019
1841999.58,6056861.594,7.764,"echo","1182",0.03018
1841998.15,6056860.676,7.79,"echo","1183",0.03064
1841997.418,6056859.68,7.83,"echo","1184",0.03019
1841997.405,6056858.117,7.806,"echo","1186",0.03018
1841996.038,6056856.611,7.774,"echo","1188",0.03017
1841995.646,6056855.401,7.849,"echo","1189",0.03017
1841995.452,6056854.351,7.816,"echo","1190",0.03049
1841996.21,6056853.692,7.844,"echo","1191",0.03016
1841996.926,6056853.565,7.796,"echo","1192",0.03016
1841998.295,6056854.969,7.859,"echo","1194",0.03014
1841998.461,6056856.059,7.831,"echo","1195",0.03015
1841998.183,6056857.031,7.794,"echo","1196",0.03014
1841998.205,6056859.849,7.814,"echo","1198",0.03014
1841998.067,6056860.774,7.855,"echo","1199",0.03013
1841999.003,6056861.074,7.803,"echo","1200",0.03014
1841999.752,6056862.412,7.775,"echo","1201",0.03013
1842000.308,6056864.046,7.815,"echo","1202",0.03013
1842000.818,6056865.428,7.804,"echo","1203",0.03036
1842001.059,6056866.651,7.801,"echo","1204",0.03035
1842000.981,6056867.615,7.812,"echo","1205",0.03012
1842000.657,6056868.484,7.834,"echo","1206",0.03033
1842001.009,6056869.616,7.792,"echo","1207",0.03048
1842001.059,6056871.063,7.81,"echo","1208",0.03034
1842000.28,6056872.574,7.821,"echo","1209",0.03011
1841999.621,6056873.614,7.817,"echo","1210",0.03011
1841999.058,6056874.291,7.784,"echo","1211",0.03032
1841998.147,6056874.581,7.81,"echo","1212",0.03011
1841997.485,6056875.591,7.786,"echo","1213",0.03011
1841996.952,6056877.011,7.745,"echo","1214",0.03042
1841996.349,6056878.249,7.814,"echo","1215",0.03041
1841996.032,6056879.856,7.786,"echo","1216",0.03009
1841995.862,6056881.162,7.777,"echo","1217",0.03009
1841995.572,6056882.407,7.769,"echo","1218",0.03009
1841994.776,6056883.786,7.745,"echo","1219",0.03009
1841993.928,6056884.816,7.787,"echo","1220",0.03008
1841993.045,6056885.78,7.761,"echo","1221",0.03022
1841991.782,6056886.594,7.771,"echo","1222",0.03007
1841990.988,6056887.702,7.761,"echo","1223",0.03027
1841989.204,6056888.454,7.788,"echo","1224",0.03006
1841987.666,6056888.931,7.788,"echo","1225",0.03006
1841986.691,6056888.619,7.775,"echo","1226",0.03005
1841986.319,6056888.344,7.77,"echo","1227",0.03007
1841985.849,6056887.399,7.775,"echo","1228",0.03033
1841985.542,6056886.877,7.796,"echo","1229",0.03004
1841984.604,6056886.968,7.761,"echo","1230",0.03037
1841983.889,6056885.303,7.793,"echo","1231",0.03004
1841983.397,6056883.754,7.845,"echo","1232",0.03004
1841982.479,6056882.477,7.801,"echo","1233",0.03004
1841981.777,6056880.888,7.832,"echo","1234",0.03003
1841981.696,6056878.928,7.785,"echo","1235",0.03238
1841981.735,6056877.344,7.877,"echo","1236",0.03002
1841981.212,6056875.738,7.773,"echo","1237",0.03002
1841980.664,6056874.651,7.816,"echo","1238",0.03001
1841979.42,6056874.891,7.792,"echo","1239",0.03001
1841978.639,6056875.66,7.794,"echo","1240",0.03
1841978.557,6056877.012,7.85,"echo","1241",0.03
1841978.539,6056878.354,7.836,"echo","1242",0.02999
1841978.514,6056879.142,7.819,"echo","1243",0.03032
1841977.635,6056879.021,7.809,"echo","1244",0.02998
1841976.682,6056879.773,7.827,"echo","1245",0.02998
1841975.874,6056880.554,7.857,"echo","1246",0.02998
1841975.486,6056881.768,7.798,"echo","1247",0.02997
1841975.205,6056882.581,7.861,"echo","1248",0.02997
1841975.45,6056883.589,7.808,"echo","1249",0.02996
1841975.48,6056884.355,7.846,"echo","1250",0.02996
1841975.566,6056885.161,7.873,"echo","1251",0.02996
1841976.073,6056885.874,7.829,"echo","1252",0.02995
1841976.249,6056887.026,7.818,"echo","1253",0.02995
1841976.866,6056887.962,7.826,"echo","1254",0.02998
1841977.53,6056888.883,7.802,"echo","1255",0.02995
1841978.14,6056890.536,7.792,"echo","1256",0.02994
1841978.884,6056891.862,7.761,"echo","1257",0.02994
1841979.494,6056893.091,7.756,"echo","1258",0.02994
1841979.946,6056894.286,7.79,"echo","1259",0.02993
1841980.145,6056895.394,7.796,"echo","1260",0.02993
1841980.142,6056896.477,7.79,"echo","1261",0.02992
1841979.947,6056897.444,7.8,"echo","1262",0.02991
1841979.955,6056898.263,7.801,"echo","1263",0.02991
1841980.488,6056899.066,7.759,"echo","1264",0.0299
1841980.411,6056899.819,7.785,"echo","1265",0.0299
1841979.944,6056900.308,7.803,"echo","1266",0.02989
1841979.102,6056900.939,7.787,"echo","1267",0.02988
1841978.381,6056901.437,7.815,"echo","1268",0.02988
1841978.387,6056902.491,7.778,"echo","1269",0.0299
1841977.855,6056903.561,7.729,"echo","1270",0.02988
1841976.998,6056904.36,7.797,"echo","1271",0.02987
1841975.186,6056904.805,7.788,"echo","1273",0.02986
1841974.406,6056904.802,7.774,"echo","1274",0.03017
1841973.91,6056904.849,7.803,"echo","1275",0.02985
1841972.857,6056903.921,7.754,"echo","1276",0.02985
1841971.911,6056903,7.797,"echo","1277",0.02984
1841971.528,6056901.69,7.795,"echo","1278",0.02986
1841971.596,6056900.531,7.783,"echo","1279",0.02984
1841971.862,6056899.599,7.824,"echo","1280",0.02983
1841971.401,6056899.211,7.837,"echo","1281",0.02983
1841970.367,6056899.196,7.786,"echo","1282",0.02983
1841969.417,6056898.3,7.773,"echo","1283",0.02983
1841968.505,6056897.28,7.819,"echo","1284",0.02984
1841966.978,6056896.785,7.778,"echo","1285",0.02982
1841965.64,6056896.196,7.812,"echo","1286",0.03013
1841964.355,6056895.487,7.843,"echo","1287",0.03016
1841962.997,6056895.517,7.795,"echo","1288",0.02982
1841962.643,6056896.099,7.781,"echo","1289",0.02981
1841962.634,6056896.508,7.829,"echo","1290",0.02981
1841962.778,6056897.21,7.8,"echo","1291",0.02996
1841962.03,6056897.712,7.787,"echo","1292",0.02996
1841960.57,6056898.116,7.829,"echo","1293",0.02979
1841959.642,6056899.142,7.817,"echo","1294",0.02979
1841957.248,6056901.126,7.775,"echo","1296",0.02978
1841956.211,6056902.488,7.792,"echo","1297",0.02978
1841955.415,6056903.864,7.796,"echo","1298",0.02978
1841954.886,6056905.31,7.749,"echo","1299",0.03038
1841953.277,6056906.619,7.799,"echo","1300",0.03106
1841951.98,6056907.838,7.773,"echo","1301",0.03002
1841950.346,6056908.76,7.813,"echo","1302",0.02979
1841948.976,6056909.737,7.809,"echo","1303",0.02981
1841947.971,6056911.321,7.804,"echo","1304",0.02979
1841946.741,6056912.49,7.776,"echo","1305",0.02999
1841945.421,6056913.459,7.803,"echo","1306",0.02979
1841944.355,6056914.821,7.778,"echo","1307",0.02979
1841943.369,6056916.068,7.771,"echo","1308",0.02978
1841941.983,6056917.023,7.812,"echo","1309",0.02997
1841940.8,6056918.15,7.808,"echo","1310",0.02977
1841939.854,6056919.478,7.78,"echo","1311",0.02976
1841938.436,6056920.521,7.8,"echo","1312",0.02976
1841937.023,6056921.355,7.795,"echo","1313",0.02975
1841935.856,6056922.599,7.773,"echo","1314",0.02992
1841934.586,6056923.623,7.765,"echo","1315",0.02975
1841933.175,6056924.324,7.78,"echo","1316",0.02974
1841931.972,6056925.472,7.78,"echo","1317",0.0299
1841930.638,6056926.463,7.808,"echo","1318",0.02974
1841928.754,6056926.942,7.799,"echo","1319",0.0299
1841927.175,6056927.605,7.812,"echo","1320",0.02973
1841925.752,6056928.654,7.757,"echo","1321",0.02973
1841923.974,6056929.076,7.804,"echo","1322",0.02995
1841922.341,6056929.447,7.837,"echo","1323",0.03228
1841920.751,6056930.469,7.758,"echo","1324",0.02972
1841919.023,6056931.036,7.759,"echo","1325",0.02993
1841917.221,6056931.29,7.792,"echo","1326",0.02971
1841915.483,6056932.125,7.805,"echo","1327",0.02971
1841913.87,6056932.868,7.798,"echo","1328",0.02993
1841911.73,6056933.009,7.775,"echo","1329",0.0297
1841909.909,6056933.048,7.809,"echo","1330",0.0297
1841908.165,6056933.72,7.796,"echo","1331",0.02986
1841906.407,6056933.986,7.778,"echo","1332",0.0297
1841904.37,6056933.519,7.771,"echo","1333",0.02969
1841902.639,6056933.248,7.81,"echo","1334",0.02969
1841900.776,6056933.572,7.763,"echo","1335",0.02969
1841899.043,6056933.402,7.79,"echo","1336",0.02985
1841897.422,6056932.961,7.784,"echo","1337",0.02968
1841895.773,6056932.946,7.771,"echo","1338",0.02968
1841894.147,6056932.691,7.804,"echo","1339",0.02967
1841892.442,6056931.679,7.823,"echo","1340",0.02967
1841891.026,6056930.936,7.808,"echo","1341",0.02967
1841889.387,6056930.64,7.754,"echo","1342",0.02967
1841887.941,6056929.844,7.764,"echo","1343",0.02966
1841886.704,6056928.846,7.796,"echo","1344",0.02966
1841885.224,6056928.237,7.81,"echo","1345",0.02965
1841883.949,6056927.638,7.807,"echo","1346",0.02966
1841882.496,6056927.358,7.787,"echo","1347",0.02965
1841881.18,6056927.033,7.791,"echo","1348",0.02965
1841879.747,6056925.955,7.778,"echo","1349",0.02965
1841878.463,6056925.031,7.825,"echo","1350",0.02964
1841876.949,6056924.496,7.775,"echo","1351",0.02964
1841875.505,6056923.528,7.758,"echo","1352",0.02984
1841874.122,6056922.5,7.822,"echo","1353",0.02964
1841872.749,6056921.864,7.783,"echo","1354",0.02963
1841871.783,6056921.788,7.771,"echo","1355",0.02963
1841870.991,6056921.934,7.813,"echo","1356",0.02985
1841870.226,6056922.453,7.798,"echo","1357",0.02962
1841869.692,6056923.167,7.778,"echo","1358",0.02962
1841869.074,6056923.705,7.803,"echo","1359",0.02962
1841867.548,6056923.977,7.8,"echo","1360",0.02961
1841866.174,6056924.321,7.817,"echo","1361",0.02982
1841865.031,6056925.022,7.804,"echo","1362",0.02985
1841864.255,6056926.063,7.791,"echo","1363",0.0296
1841864.156,6056927.646,7.821,"echo","1364",0.0296
