"Point","North_cor","East_cor","BedSE","WaterSE","Depth_cor","Code","VertPrec"
"4340",1842263.717,6057314.407,12.655,7.812,4.193,"echo",0.02945
"4341",1842263.132,6057312.173,12.548,7.77,4.128,"echo",0.0297
"4342",1842262.33,6057310.336,12.749,7.807,4.292,"echo",0.02943
"4343",1842261.143,6057308.685,12.806,7.766,4.39,"echo",0.02942
"4344",1842260.305,6057306.789,12.908,7.769,4.489,"echo",0.0294
"4345",1842259.6,6057304.839,12.959,7.788,4.521,"echo",0.02943
"4346",1842258.378,6057303.205,12.871,7.798,4.423,"echo",0.02981
"4347",1842257.234,6057301.843,12.902,7.829,4.423,"echo",0.02942
"4348",1842256.253,6057299.71,13.062,7.792,4.62,"echo",0.02966
"4349",1842255.175,6057297.997,13.185,7.817,4.718,"echo",0.02944
"4350",1842253.726,6057296.638,13.012,7.775,4.587,"echo",0.02944
"4351",1842252.485,6057294.859,13.273,7.741,4.882,"echo",0.02985
"4352",1842251.456,6057292.883,13.294,7.827,4.817,"echo",0.02982
"4353",1842250.028,6057291.299,13.314,7.782,4.882,"echo",0.02984
"4354",1842248.673,6057289.839,13.479,7.815,5.014,"echo",0.02904
"4355",1842247.51,6057287.891,13.748,7.789,5.309,"echo",0.02904
"4356",1842246.268,6057286.345,13.779,7.82,5.309,"echo",0.02905
"4357",1842244.886,6057285.079,13.608,7.78,5.178,"echo",0.02908
"4358",1842243.741,6057283.063,13.475,7.746,5.079,"echo",0.02909
"4359",1842242.799,6057281.222,13.242,7.808,4.784,"echo",0.02911
"4360",1842241.263,6057279.753,13.513,7.751,5.112,"echo",0.02911
"4361",1842240.04,6057278.216,13.747,7.821,5.276,"echo",0.02923
"4362",1842238.874,6057276.323,13.657,7.829,5.178,"echo",0.02913
"4363",1842237.52,6057274.828,13.618,7.79,5.178,"echo",0.02913
"4364",1842236.04,6057273.612,13.706,7.78,5.276,"echo",0.02915
"4365",1842234.729,6057271.619,13.396,7.732,5.014,"echo",0.02914
"4366",1842233.718,6057269.682,13.711,7.785,5.276,"echo",0.02915
"4367",1842232.181,6057268.125,13.656,7.796,5.21,"echo",0.0292
"4368",1842230.808,6057266.667,13.719,7.793,5.276,"echo",0.02921
"4369",1842229.548,6057264.83,13.616,7.788,5.178,"echo",0.0292
"4370",1842228.08,6057263.385,13.628,7.768,5.21,"echo",0.02918
"4371",1842226.536,6057262.261,13.568,7.74,5.178,"echo",0.02919
"4372",1842225.459,6057261.359,13.64,7.812,5.178,"echo",0.0294
"4373",1842224.121,6057259.428,13.637,7.777,5.21,"echo",0.02947
"4374",1842223.177,6057257.546,13.291,7.824,4.817,"echo",0.02944
"4375",1842221.773,6057256.032,13.267,7.8,4.817,"echo",0.0292
"4376",1842220.471,6057254.574,13.574,7.812,5.112,"echo",0.0292
"4377",1842219.42,6057252.816,13.681,7.821,5.21,"echo",0.02948
"4378",1842217.943,6057251.441,13.691,7.765,5.276,"echo",0.02921
"4379",1842216.48,6057250.188,13.811,7.787,5.374,"echo",0.02919
"4380",1842215.164,6057248.127,13.417,7.753,5.014,"echo",0.02917
"4381",1842213.991,6057246.361,13.097,7.827,4.62,"echo",0.02917
"4382",1842212.466,6057244.9,12.031,7.778,3.603,"echo",0.02916
"4383",1842211.172,6057243.237,12.059,7.773,3.636,"echo",0.02915
"4384",1842210.082,6057241.38,13.726,7.8,5.276,"echo",0.02915
"4385",1842208.639,6057239.891,13.563,7.801,5.112,"echo",0.02915
"4386",1842207.285,6057238.548,13.539,7.777,5.112,"echo",0.02913
"4387",1842206.137,6057236.394,13.673,7.813,5.21,"echo",0.02914
"4388",1842204.812,6057234.703,13.656,7.828,5.178,"echo",0.02913
"4389",1842203.238,6057233.32,13.47,7.741,5.079,"echo",0.02913
"4390",1842201.786,6057231.563,13.379,7.715,5.014,"echo",0.02912
"4391",1842200.611,6057229.95,13.624,7.796,5.178,"echo",0.02911
"4392",1842199.053,6057228.706,13.456,7.792,5.014,"echo",0.02911
"4393",1842197.69,6057227.263,13.502,7.773,5.079,"echo",0.02914
"4394",1842196.413,6057225.226,13.524,7.795,5.079,"echo",0.02912
"4395",1842194.807,6057223.806,13.528,7.766,5.112,"echo",0.0291
"4396",1842193.192,6057222.725,13.433,7.769,5.014,"echo",0.0291
"4397",1842191.535,6057221.079,13.266,7.701,4.915,"echo",0.02911
"4398",1842190.204,6057219.448,13.477,7.813,5.014,"echo",0.02911
"4399",1842188.507,6057218.312,13.296,7.764,4.882,"echo",0.0291
"4400",1842186.974,6057217.202,13.319,7.787,4.882,"echo",0.02907
"4401",1842185.4,6057215.245,12.608,7.765,4.193,"echo",0.02906
"4402",1842183.942,6057213.678,12.894,7.854,4.39,"echo",0.02905
"4403",1842182.074,6057212.574,12.656,7.78,4.226,"echo",0.02905
"4404",1842180.371,6057211.072,13.186,7.752,4.784,"echo",0.02904
"4405",1842178.911,6057209.291,13.266,7.832,4.784,"echo",0.02904
"4406",1842177.219,6057207.933,13.25,7.783,4.817,"echo",0.0293
"4407",1842175.605,6057206.776,13.209,7.775,4.784,"echo",0.02907
"4408",1842174.142,6057204.897,12.564,7.786,4.128,"echo",0.02908
"4409",1842172.656,6057203.436,13.237,7.803,4.784,"echo",0.02908
"4410",1842170.831,6057202.405,13.224,7.757,4.817,"echo",0.02909
"4411",1842169.169,6057200.892,13.092,7.724,4.718,"echo",0.02909
"4412",1842167.825,6057199.131,13.256,7.789,4.817,"echo",0.0291
"4413",1842166.025,6057197.911,13.281,7.749,4.882,"echo",0.02911
"4414",1842164.414,6057196.837,13.306,7.741,4.915,"echo",0.02912
"4415",1842162.89,6057194.972,13.412,7.748,5.014,"echo",0.02942
"4416",1842161.298,6057193.566,12.936,7.797,4.489,"echo",0.0292
"4417",1842159.593,6057192.419,13.527,7.765,5.112,"echo",0.0292
"4418",1842157.976,6057190.754,13.729,7.77,5.309,"echo",0.02919
"4419",1842156.547,6057189.186,13.933,7.81,5.473,"echo",0.02917
"4420",1842154.588,6057188.069,13.787,7.73,5.407,"echo",0.02917
"4421",1842152.911,6057186.697,13.766,7.709,5.407,"echo",0.02929
"4422",1842151.353,6057184.912,13.738,7.812,5.276,"echo",0.02919
"4423",1842149.515,6057183.644,13.579,7.751,5.178,"echo",0.02918
"4424",1842147.875,6057182.438,13.572,7.744,5.178,"echo",0.02961
"4425",1842146.265,6057181.093,13.485,7.756,5.079,"echo",0.02919
"4426",1842145.156,6057180.659,13.58,7.851,5.079,"echo",0.02921
"4427",1842143.625,6057180.281,13.469,7.805,5.014,"echo",0.02921
"4428",1842142.057,6057179.824,13.442,7.811,4.981,"echo",0.02919
"4429",1842140.645,6057178.079,13.295,7.763,4.882,"echo",0.02921
"4430",1842139.385,6057176.698,13.551,7.822,5.079,"echo",0.0294
"4431",1842137.551,6057175.568,12.848,7.775,4.423,"echo",0.0292
"4432",1842136.162,6057174.019,13.218,7.751,4.817,"echo",0.02922
"4433",1842135.019,6057172.323,13.134,7.799,4.685,"echo",0.02922
"4434",1842133.397,6057170.982,12.827,7.787,4.39,"echo",0.0294
"4435",1842131.891,6057169.814,13.064,7.794,4.62,"echo",0.02921
"4436",1842130.646,6057167.76,12.915,7.744,4.521,"echo",0.02944
"4437",1842129.543,6057166.029,12.968,7.829,4.489,"echo",0.0292
"4438",1842127.875,6057164.681,12.711,7.736,4.325,"echo",0.02919
"4439",1842126.564,6057162.944,12.811,7.771,4.39,"echo",0.0292
"4440",1842125.421,6057161.11,12.864,7.824,4.39,"echo",0.02939
"4441",1842123.819,6057159.694,12.784,7.809,4.325,"echo",0.0292
"4442",1842122.416,6057158.299,12.766,7.791,4.325,"echo",0.02918
"4443",1842121.187,6057156.18,12.636,7.76,4.226,"echo",0.02918
"4444",1842119.926,6057154.5,12.693,7.817,4.226,"echo",0.02916
