Point,North,East,Elevation,Code
351,1842857.909,6057841.98,11.565,wse
352,1843116.538,6057852.116,11.621,wse
353,1843113.989,6057812.105,11.623,wse
354,1843109.26,6057817.434,8.696,topo
355,1843092.335,6057830.378,9.115,topo
356,1843095.487,6057810.553,11.536,wse
357,1843054.375,6057799.443,11.645,wse
358,1843036.949,6057813.297,9.421,topo
359,1842987.462,6057793.183,11.554,wse
360,1842938.4,6057787.686,11.675,wse
361,1842699.801,6057742.972,11.616,wse
362,1841897.519,6057077.312,28.198,cp01c
363,1841825.933,6057139.846,29.213,hwymark
